T_i,B_i
764,605
637,171
418,53
861,348
338,212
858,640
844,915
572,630
643,475
729,859
280,598
943,468
153,224
495,415
834,736
500,389
925,367
956,985
133,54
758,914
42,693
260,279
230,957
709,702
444,698
779,237
837,107
133,109
547,50
990,841
229,743
233,721
542,707
79,677
418,669
789,239
120,67
825,856
282,334
313,400
53,102
679,737
997,57
565,827
83,360
129,642
740,159
837,647
849,574
165,765
274,843
270,826
611,40
113,271
59,663
437,2
15,508
627,583
799,842
519,479
505,185
647,596
925,154
859,798
550,355
79,589
623,961
689,696
840,871
280,95
625,417
924,704
24,436
352,68
521,941
930,871
846,307
582,668
140,657
433,704
279,490
681,920
781,277
677,987
14,927
626,634
535,17
383,285
461,973
417,856
129,622
447,675
633,726
451,428
185,549
493,858
744,688
856,695
539,180
933,819
447,640
314,432
101,972
483,178
741,25
569,720
814,933
806,785
439,45
123,767
59,988
14,116
371,669
40,549
66,158
331,48
104,955
694,766
131,713
751,967
877,361
451,817
300,900
421,981
851,774
864,82
96,199
599,627
103,542
683,890
464,344
276,5
187,315
662,435
913,343
763,923
299,178
477,938
936,970
86,574
807,975
294,623
790,447
419,358
465,692
669,229
989,120
418,860
173,547
535,456
301,44
621,144
202,173
467,39
659,746
378,165
154,82
461,39
974,487
93,753
813,739
494,374
921,305
519,138
921,52
747,808
130,478
56,539
382,649
695,169
485,691
337,701
688,492
529,681
938,938
542,468
843,264
141,209
700,105
69,890
415,443
304,974
865,456
835,414
504,105
292,864
979,462
849,989
313,524
16,132
300,677
803,369
391,34
647,445
511,691
619,880
692,140
520,942
397,912
920,435
112,589
601,38
813,68
10,488
354,346
435,970
47,335
975,961
859,524
58,98
516,72
939,919
774,910
376,7
50,778
519,752
934,303
106,101
961,406
561,960
829,683
763,432
665,404
669,604
862,886
710,912
178,16
226,139
371,468
411,185
92,911
809,139
191,123
615,97
533,593
903,675
788,125
420,294
352,285
842,543
678,132
630,593
490,450
460,585
883,79
702,347
101,790
675,161
259,586
752,873
283,505
13,360
571,516
602,723
802,107
805,426
366,147
159,778
570,972
860,747
209,228
98,491
93,737
601,986
268,36
151,868
315,653
945,904
207,187
429,816
280,619
178,60
985,102
647,215
75,422
395,361
991,131
917,30
983,349
871,12
500,851
233,830
20,636
776,761
620,727
315,592
536,157
562,138
425,599
132,101
583,509
976,427
321,971
573,57
75,601
744,232
879,301
310,666
344,420
298,841
306,171
998,817
808,371
183,114
395,83
185,836
828,751
958,95
755,538
950,142
591,272
654,435
220,693
935,333
746,667
993,11
470,965
997,164
734,608
657,378
466,791
488,774
343,395
569,235
735,803
747,143
446,130
279,396
510,109
523,933
235,986
410,337
599,391
665,594
300,65
924,257
564,839
39,55
765,721
667,810
479,313
70,30
359,574
622,377
144,788
722,272
966,210
492,869
550,623
446,764
738,747
202,364
178,752
780,746
135,995
462,785
312,317
603,811
261,370
778,698
25,930
551,820
396,925
720,562
372,963
786,2
310,230
655,640
148,929
819,926
472,20
996,751
607,366
662,414
56,850
249,61
812,417
188,803
89,624
608,957
23,260
148,226
454,941
487,62
795,65
86,571
252,628
842,397
527,997
464,862
338,534
774,264
680,676
858,785
663,370
445,228
575,535
980,12
142,700
674,228
419,631
517,610
108,618
723,479
152,541
190,771
181,160
229,611
470,35
569,716
177,471
156,576
978,463
392,93
414,504
836,390
557,984
914,841
77,473
417,585
123,74
86,733
737,485
268,328
130,418
703,743
697,560
404,11
693,778
251,1000
861,364
46,275
236,294
89,260
905,14
987,574
545,179
734,789
511,26
937,973
272,34
635,302
345,62
409,451
730,781
480,771
277,444
790,856
791,971
439,808
735,336
885,574
167,764
743,50
84,111
929,291
186,774
252,830
605,458
411,90
433,486
358,702
445,221
902,378
864,489
540,894
647,180
694,402
43,113
37,503
220,333
775,914
140,360
991,901
172,510
335,682
142,962
87,954
434,235
530,886
443,339
429,514
248,937
893,786
904,159
504,937
907,332
753,52
239,833
162,678
