T_i,B_i
560,390
820,736
992,445
372,433
74,412
719,773
713,624
313,523
278,774
107,500
580,19
632,383
76,84
155,478
902,144
328,80
464,636
137,224
17,631
454,512
933,767
971,258
530,617
192,629
699,964
717,940
806,612
527,127
3,495
838,220
730,850
994,470
773,795
945,342
266,584
771,168
936,188
697,384
790,248
689,821
448,391
606,473
472,720
117,602
564,690
44,625
357,610
208,718
330,384
924,224
753,912
405,182
369,153
921,155
951,883
406,944
150,168
595,629
358,434
966,463
657,713
476,988
152,977
995,532
31,999
173,200
112,861
195,564
808,155
21,481
162,860
726,560
231,289
822,219
36,789
836,929
681,472
892,228
369,94
329,225
443,919
57,594
252,127
890,649
620,236
66,320
248,525
465,941
757,304
881,358
859,752
92,759
916,803
585,370
835,497
620,670
705,319
324,680
726,531
744,788
734,230
688,254
13,441
159,930
35,164
873,67
516,542
468,661
447,22
943,688
396,477
359,943
740,250
702,638
488,184
287,510
95,358
658,596
179,691
1000,709
541,332
596,692
396,215
346,790
892,45
24,441
746,226
314,425
898,8
554,306
870,395
986,356
64,5
929,751
922,898
383,458
944,641
172,856
166,127
963,682
690,953
696,808
854,367
832,484
503,17
460,938
783,670
755,30
501,568
560,685
206,304
638,920
38,121
819,876
959,336
831,744
261,853
602,747
776,334
172,477
539,415
106,251
531,966
249,772
20,988
357,632
680,822
273,268
88,807
839,532
282,995
809,771
115,200
911,279
573,867
744,672
976,984
67,722
999,296
36,999
1,623
482,879
352,516
931,300
259,733
795,744
626,976
336,168
60,224
41,282
391,974
227,375
315,687
743,584
854,527
773,826
146,632
782,486
645,262
96,652
965,931
394,296
731,107
898,786
678,513
579,370
825,803
526,829
548,538
620,219
688,93
448,212
619,803
881,528
208,382
421,362
500,285
471,399
824,522
578,817
270,431
26,930
146,359
985,929
149,322
965,975
898,24
466,1000
50,400
230,464
349,308
354,40
273,985
654,387
624,602
843,8
815,979
889,215
310,739
999,365
293,151
527,596
29,574
445,616
440,898
578,241
434,113
581,592
540,155
874,925
794,59
26,486
770,141
291,589
581,8
564,474
901,851
315,163
26,426
467,523
12,73
848,87
675,917
778,44
56,910
134,757
986,395
729,873
649,380
248,336
432,969
954,931
112,399
387,758
207,861
56,696
376,520
764,593
33,230
759,548
245,692
109,370
955,286
816,360
402,433
307,250
176,199
285,590
827,412
937,260
455,717
635,906
190,659
231,678
828,322
782,8
717,438
981,840
628,406
48,897
918,846
412,897
36,193
288,493
642,781
161,746
675,69
707,826
424,176
834,40
71,895
582,495
953,447
7,512
155,857
52,17
549,387
817,709
752,311
191,148
674,869
756,128
584,999
433,877
252,27
913,775
989,471
545,106
798,216
493,377
208,966
779,413
483,40
407,744
1000,356
70,216
362,877
38,476
853,597
232,580
330,609
545,411
620,770
132,151
75,425
951,40
925,224
261,921
825,337
393,956
654,939
91,478
611,523
496,110
228,26
366,35
576,438
457,787
201,282
739,570
718,749
454,598
94,262
24,364
693,21
309,192
709,178
78,612
492,290
97,249
862,382
434,54
772,411
146,175
424,946
633,719
215,72
484,362
74,168
117,229
331,701
111,684
940,747
523,664
523,582
745,607
476,292
797,634
375,199
987,287
583,633
259,711
95,382
520,606
496,399
462,960
489,124
699,687
673,585
561,228
30,843
436,242
684,236
343,178
621,731
526,777
567,748
886,791
673,931
465,866
605,737
248,578
299,318
689,452
426,149
614,845
793,448
757,6
201,409
755,475
400,55
832,150
634,830
312,361
345,206
751,873
994,640
733,56
257,107
256,906
315,23
514,272
252,905
995,925
271,957
691,304
